TimePeriod,,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean,Indicator,IndicatorID
Summer 2022,,212,6,Williamsbridge and Baychester (CD12),10.3,12.6,11.4,NO2,375
Summer 2022,,301,6,Greenpoint and Williamsburg (CD1),12.7,15.8,14.1,NO2,375
Summer 2022,,302,6,Fort Greene and Brooklyn Heights (CD2),12.2,16.5,14.2,NO2,375
Summer 2022,,303,6,Bedford Stuyvesant (CD3),10.6,13.8,11.9,NO2,375
Summer 2022,,304,6,Bushwick (CD4),10.5,14.2,11.8,NO2,375
Summer 2022,,305,6,East New York and Starrett City (CD5),8.5,12.7,10.7,NO2,375
Summer 2022,,306,6,Park Slope and Carroll Gardens (CD6),10.5,14.7,12.7,NO2,375
Summer 2022,,307,6,Sunset Park (CD7),9.3,16.4,12.6,NO2,375
Summer 2022,,308,6,Crown Heights and Prospect Heights (CD8),11,12.9,11.8,NO2,375
Summer 2022,,309,6,South Crown Heights and Lefferts Gardens (CD9),10.2,10.9,10.6,NO2,375
Summer 2022,,310,6,Bay Ridge and Dyker Heights (CD10),8.9,13.2,10.6,NO2,375
Summer 2022,,311,6,Bensonhurst (CD11),8.9,10,9.4,NO2,375
Summer 2022,,312,6,Borough Park (CD12),9.7,11.1,10.3,NO2,375
Summer 2022,,313,6,Coney Island (CD13),7.2,9.2,8.2,NO2,375
Summer 2022,,314,6,Flatbush and Midwood (CD14),9.1,10.8,9.8,NO2,375
Summer 2022,,315,6,Sheepshead Bay (CD15),7.2,9.4,8.5,NO2,375
Summer 2022,,316,6,Brownsville (CD16),10.4,12.3,11.2,NO2,375
Summer 2022,,317,6,East Flatbush (CD17),9.5,11.5,10.5,NO2,375
Summer 2022,,318,6,Flatlands and Canarsie (CD18),6.3,10.5,8.5,NO2,375
Summer 2022,,401,6,Long Island City and Astoria (CD1),9.2,14.2,12,NO2,375
Summer 2022,,402,6,Woodside and Sunnyside (CD2),12.3,16.3,14.2,NO2,375
Summer 2022,,403,6,Jackson Heights (CD3),10.9,12.4,11.5,NO2,375
Summer 2022,,404,6,Elmhurst and Corona (CD4),11.1,13.4,12.2,NO2,375
Summer 2022,,405,6,Ridgewood and Maspeth (CD5),8.5,14.2,11.2,NO2,375
Summer 2022,,406,6,Rego Park and Forest Hills (CD6),9.4,13.2,11,NO2,375
Summer 2022,,407,6,Flushing and Whitestone (CD7),9.7,12.8,11.1,NO2,375
Summer 2022,,408,6,Hillcrest and Fresh Meadows (CD8),9.4,11.8,10.5,NO2,375
